ARO Term,Human accessibility,Mobility,Human pathogenicity,Clinical availability,risk,Rank,ARG Class
PER-7,0,5,1,5272.111748,0,RI=0,Beta-lactams
PER-3,0,2,0.5,5272.111748,0,RI=0,Beta-lactams
GIM-2,0,0,0.333333333,5272.111748,0,RI=0,Beta-lactams
PER-5,0,0,0,5272.111748,0,RI=0,Beta-lactams
GIM-1,0,4,0.2,5272.111748,0,RI=0,Beta-lactams
PER-1,0,9,0.961538462,5272.111748,0,RI=0,Beta-lactams
PER-4,0,1,0.5,5272.111748,0,RI=0,Beta-lactams
KPC-15,0,0,0,5271.254991,0,RI=0,Beta-lactams
KPC-14,0,4,1,5271.254991,0,RI=0,Beta-lactams
KPC-10,0,0,0,5271.254991,0,RI=0,Beta-lactams
KPC-4,0,6,0.545454545,5271.254991,0,RI=0,Beta-lactams
KPC-13,0,0,0,5271.254991,0,RI=0,Beta-lactams
KPC-17,0,0,0,5271.254991,0,RI=0,Beta-lactams
KPC-1,0,0,0,5271.254991,0,RI=0,Beta-lactams
KPC-11,0,0,0,5271.254991,0,RI=0,Beta-lactams
KPC-16,0,10,1,5271.254991,0,RI=0,Beta-lactams
KPC-3,0,14,0.892473118,5271.254991,0,RI=0,Beta-lactams
KPC-6,0,5,1,5271.254991,0,RI=0,Beta-lactams
KPC-24,0,0,1,5271.254991,0,RI=0,Beta-lactams
KPC-5,0,0,0,5271.254991,0,RI=0,Beta-lactams
KPC-12,0,4,1,5271.254991,0,RI=0,Beta-lactams
IMP-13,7.10218E-05,3,1,5271.146231,1.123099077,Q4,Beta-lactams
VIM-29,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-4,0,9,0.461538462,5271.146231,0,RI=0,Beta-lactams
VIM-43,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-14,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-37,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-19,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-28,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-35,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-42,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-26,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-1,0,28,0.455882353,5271.146231,0,RI=0,Beta-lactams
VIM-32,0,2,0.5,5271.146231,0,RI=0,Beta-lactams
VIM-39,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-33,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-34,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-13,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-12,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-27,0,3,1,5271.146231,0,RI=0,Beta-lactams
VIM-5,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-24,0,2,1,5271.146231,0,RI=0,Beta-lactams
VIM-10,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-23,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-31,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-17,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-2,0,16,1,5271.146231,0,RI=0,Beta-lactams
VIM-30,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-20,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-11,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-15,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-25,0,0,1,5271.146231,0,RI=0,Beta-lactams
VIM-8,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-38,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-9,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-36,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-16,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-3,0,0,0,5271.146231,0,RI=0,Beta-lactams
KHM-1 beta-lactamase,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-12,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-33,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-16,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-41,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-44,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-22,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-28,0,0,0,5271.146231,0,RI=0,Beta-lactams
VIM-6,0,1,1,5271.146231,0,RI=0,Beta-lactams
IMP-11,0,3,1,5271.146231,0,RI=0,Beta-lactams
IMP-2,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-9,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-21,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-24,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-8,0,10,0.5,5271.146231,0,RI=0,Beta-lactams
IMP-19,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-20,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-30,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-37,0,0,1,5271.146231,0,RI=0,Beta-lactams
IMP-10,0,2,1,5271.146231,0,RI=0,Beta-lactams
IMP-3,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-1,0,25,0.652173913,5271.146231,0,RI=0,Beta-lactams
IMP-25,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-52,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-5,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-14,0,5,1,5271.146231,0,RI=0,Beta-lactams
IMP-15,0,4,1,5271.146231,0,RI=0,Beta-lactams
IMP-27,0,4,0.333333333,5271.146231,0,RI=0,Beta-lactams
VIM-7,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-26,0,4,0.5,5271.146231,0,RI=0,Beta-lactams
IMP-31,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-35,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-6,0,5,0.666666667,5271.146231,0,RI=0,Beta-lactams
IMP-55,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-48,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-34,0,3,1,5271.146231,0,RI=0,Beta-lactams
IMP-42,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-40,0,2,1,5271.146231,0,RI=0,Beta-lactams
IMP-32,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-7,0,1,0,5271.146231,0,RI=0,Beta-lactams
IMP-51,0,0,0,5271.146231,0,RI=0,Beta-lactams
IMP-45,0,2,1,5271.146231,0,RI=0,Beta-lactams
IMP-49,0,0,1,5271.146231,0,RI=0,Beta-lactams
IMP-18,0,2,0.666666667,5271.146231,0,RI=0,Beta-lactams
SHV-11,0.00345231,36,0.996219282,5270.289474,652.531768,Q2,Beta-lactams
SHV-66,0.00081581,85,0.823255814,5270.289474,300.8689585,Q2,Beta-lactams
SHV-1,0.001776039,15,1,5270.289474,140.4036109,Q2,Beta-lactams
SHV-53,0.001494719,11,0.833333333,5270.289474,72.21133159,Q2,Beta-lactams
SHV-7,0.001357203,14,0.6,5270.289474,60.08398416,Q2,Beta-lactams
SHV-2A,0.001142122,11,0.888888889,5270.289474,58.85548648,Q2,Beta-lactams
SHV-105,0.001447291,7,1,5270.289474,53.39351468,Q2,Beta-lactams
SHV-5,0.001327796,11,0.647058824,5270.289474,49.80836302,Q2,Beta-lactams
SHV-51,0.002398796,3,1,5270.289474,37.92704291,Q2,Beta-lactams
SHV-44,0.002258658,3,1,5270.289474,35.71133778,Q2,Beta-lactams
SHV-12,0.001589883,4,1,5270.289474,33.5165688,Q2,Beta-lactams
SHV-28,0.003174181,2,0.989010989,5270.289474,33.09004312,Q2,Beta-lactams
ACT-8,0.001949329,5,0.556603774,5270.289474,28.59142566,Q2,Beta-lactams
SHV-30,0.00086158,7,0.857142857,5270.289474,27.24466952,Q2,Beta-lactams
SHV-31,0.001254147,6,0.666666667,5270.289474,26.43887213,Q3,Beta-lactams
SHV-154,0.000830925,6,1,5270.289474,26.27529325,Q3,Beta-lactams
SHV-64,0.001179698,4,1,5270.289474,24.86939944,Q3,Beta-lactams
SHV-46,0.000958599,4,1,5270.289474,20.20838337,Q3,Beta-lactams
SHV-15,0.001223446,3,1,5270.289474,19.34373592,Q3,Beta-lactams
SHV-2,0.001782758,8,0.25,5270.289474,18.79130286,Q3,Beta-lactams
SHV-149,0.000755346,4,1,5270.289474,15.92356424,Q3,Beta-lactams
OXA-2,0.00014388,29,0.511111111,5270.289474,11.23954934,Q3,Beta-lactams
ACT-38,0.003248226,1,0.586956522,5270.289474,10.04816141,Q3,Beta-lactams
SHV-152,0.001723468,1,1,5270.289474,9.08317295,Q3,Beta-lactams
SHV-29,0.001346607,1,1,5270.289474,7.097007604,Q3,Beta-lactams
SHV-4,0.001317939,1,1,5270.289474,6.945918151,Q3,Beta-lactams
SHV-35,0.001197009,1,1,5270.289474,6.308584255,Q3,Beta-lactams
SHV-123,0.000512205,9,0.24,5270.289474,5.830857723,Q3,Beta-lactams
SHV-36,0.000993125,1,1,5270.289474,5.234055961,Q3,Beta-lactams
SHV-134,0.001293507,3,0.25,5270.289474,5.112867917,Q3,Beta-lactams
ACT-9,0.005908964,1,0.142857143,5270.289474,4.448849868,Q3,Beta-lactams
ACT-5,0.002750806,1,0.2,5270.289474,2.899508772,Q3,Beta-lactams
Bla2,0.000557437,1,0.865168539,5270.289474,2.541740292,Q3,Beta-lactams
NDM-23,8.868E-05,5,1,5270.289474,2.336847137,Q3,Beta-lactams
NmcR,3.6428E-05,3,0.363636364,5270.289474,0.209439492,Q4,Beta-lactams
GES-23,0.000138366,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-22,0.0103355,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-4,0.00586026,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-21,0.001513131,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-29,0.002669719,0,0.363636364,5270.289474,0,RI=0,Beta-lactams
ACT-6,0.00304963,0,0.307692308,5270.289474,0,RI=0,Beta-lactams
SHV-108,0.007644995,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-188,0.006442954,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-14,0.002837567,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-18,0.004139089,0,0.5,5270.289474,0,RI=0,Beta-lactams
ACT-3,0.002427805,0,1,5270.289474,0,RI=0,Beta-lactams
ACT-23,0.004513737,0,0,5270.289474,0,RI=0,Beta-lactams
THIN-B beta-lactamase,0.000145685,0,0,5270.289474,0,RI=0,Beta-lactams
Rm3 beta-lactamase,5.21839E-05,0,0,5270.289474,0,RI=0,Beta-lactams
EBR-2,0,0,0,5270.289474,0,RI=0,Beta-lactams
CGB-1 beta-lactamase,0,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-2,0.007568054,0,0.090909091,5270.289474,0,RI=0,Beta-lactams
GES-7,0,4,0.5,5270.289474,0,RI=0,Beta-lactams
GES-22,0,0,0,5270.289474,0,RI=0,Beta-lactams
GES-11,0,2,1,5270.289474,0,RI=0,Beta-lactams
GES-1,0,8,1,5270.289474,0,RI=0,Beta-lactams
GES-20,0,6,1,5270.289474,0,RI=0,Beta-lactams
GES-16,0,0,0,5270.289474,0,RI=0,Beta-lactams
GES-15,0,4,1,5270.289474,0,RI=0,Beta-lactams
GES-18,0,0,0,5270.289474,0,RI=0,Beta-lactams
GES-24,0,12,0.545454545,5270.289474,0,RI=0,Beta-lactams
GES-21,0,0,0,5270.289474,0,RI=0,Beta-lactams
GES-3,0,0,0,5270.289474,0,RI=0,Beta-lactams
GES-4,0,2,0.75,5270.289474,0,RI=0,Beta-lactams
GES-2,0,0,0,5270.289474,0,RI=0,Beta-lactams
GES-6,0,4,0.833333333,5270.289474,0,RI=0,Beta-lactams
GES-9,0,0,0,5270.289474,0,RI=0,Beta-lactams
GES-14,0,0,0,5270.289474,0,RI=0,Beta-lactams
GES-12,0,0,0,5270.289474,0,RI=0,Beta-lactams
GES-13,0,0,0,5270.289474,0,RI=0,Beta-lactams
GES-19,0,3,1,5270.289474,0,RI=0,Beta-lactams
GES-17,0,0,0,5270.289474,0,RI=0,Beta-lactams
GES-8,0,0,0,5270.289474,0,RI=0,Beta-lactams
GOB-10,0,0,0,5270.289474,0,RI=0,Beta-lactams
EBR-1 beta-lactamase,0,0,1,5270.289474,0,RI=0,Beta-lactams
ACT-17,0.010217318,0,0.107142857,5270.289474,0,RI=0,Beta-lactams
GOB-1 beta-lactamase,0,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-35,0.01928893,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-28,0.032629487,0,0.4,5270.289474,0,RI=0,Beta-lactams
ACT-32,0.009394853,0,0,5270.289474,0,RI=0,Beta-lactams
GOB-2,0,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-30,0.002587333,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-36,0.00184838,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-31,0.003504494,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-27,0.009595259,0,0.1,5270.289474,0,RI=0,Beta-lactams
ACT-12,0.011293273,0,0.0625,5270.289474,0,RI=0,Beta-lactams
ACT-24,0.003767281,0,0.125,5270.289474,0,RI=0,Beta-lactams
ACT-7,0.013734184,0,1,5270.289474,0,RI=0,Beta-lactams
PNGM-1,0,0,0,5270.289474,0,RI=0,Beta-lactams
SMB-1 beta-lactamase,0,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-10,0.004509062,0,0,5270.289474,0,RI=0,Beta-lactams
GOB-3,0,0,0,5270.289474,0,RI=0,Beta-lactams
GOB-6,0,0,0,5270.289474,0,RI=0,Beta-lactams
GOB-18,0,0,0,5270.289474,0,RI=0,Beta-lactams
GOB-9,0,0,0.333333333,5270.289474,0,RI=0,Beta-lactams
ACT-13,0.003499067,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-1,0.002630532,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-16,0.005878833,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-19,0.001308418,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-41,0.002913817,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-48,0.006128601,0,0,5270.289474,0,RI=0,Beta-lactams
GOB-16,0,0,0,5270.289474,0,RI=0,Beta-lactams
GOB-7,0,0,0,5270.289474,0,RI=0,Beta-lactams
JOHN-1 beta-lactamase,0,0,0,5270.289474,0,RI=0,Beta-lactams
GOB-12,0,0,0,5270.289474,0,RI=0,Beta-lactams
GOB-15,0,0,0,5270.289474,0,RI=0,Beta-lactams
GOB-11,0,0,0,5270.289474,0,RI=0,Beta-lactams
GOB-14,0,0,0,5270.289474,0,RI=0,Beta-lactams
GOB-13,0,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-25,0.006166104,0,0.25,5270.289474,0,RI=0,Beta-lactams
ACT-20,0.006011087,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-37,0.017471217,0,0.166666667,5270.289474,0,RI=0,Beta-lactams
ACT-15,0.00688354,0,0.583333333,5270.289474,0,RI=0,Beta-lactams
SHV-120,0.001452779,0,0,5270.289474,0,RI=0,Beta-lactams
ACT-33,0.009862963,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-126,0.001522646,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-97,0.002352533,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-76,0.00338767,0,0,5270.289474,0,RI=0,Beta-lactams
FEZ-1 beta-lactamase,0,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-133,0.00119207,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-20,0.000683047,0,0,5270.289474,0,RI=0,Beta-lactams
GOB-5,0,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-86,0.002086409,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-159,0.002579995,0,0,5270.289474,0,RI=0,Beta-lactams
CAM-1,0,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-92,0.001580442,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-121,0.00141511,0,1,5270.289474,0,RI=0,Beta-lactams
GES-10,0,0,0,5270.289474,0,RI=0,Beta-lactams
GES-5,0,10,0.666666667,5270.289474,0,RI=0,Beta-lactams
SHV-187,0.006572023,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-173,0.001960508,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-151,0.001432267,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-61,0.001972071,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-147,0.001159833,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-65,0.001409476,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-80,0.001892946,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-148,0.001344335,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-74,0.002379716,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-26,0.001892487,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-145,0.001095173,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-137,0.00217321,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-167,0.001845906,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-186,0.001735625,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-150,0.001723139,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-43,0.001531142,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-103,0.002612322,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-143,0.002625547,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-111,0.002096037,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-142,0.001154334,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-23,0.000956723,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-8,0.002065816,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-38,0.001728479,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-72,0.001284733,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-57,0.002279721,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-135,0.002703164,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-45,0.00364015,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-40,0.002339787,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-50,0.001319877,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-178,0.001305861,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-179,0.001526171,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-60,0.002620003,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-6,0.001534661,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-125,0.002103,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-24,0.001909764,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-101,0.001400236,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-32,0.001808129,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-78,0.001265377,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-75,0.001785248,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-33,0.003275086,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-71,0.001831755,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-59,0.001885157,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-63,0.001518443,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-95,0.002541367,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-27,0.00408197,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-98,0.001744549,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-3,0.001621805,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-16,0.002067093,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-128,0.000845518,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-180,0.001615771,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-84,0.002379606,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-162,0.000772542,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-153,0.001640571,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-158,0.001554261,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-155,0.001802126,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-165,0.003956166,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-79,0.00290396,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-56,0.002807814,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-89,0.003199495,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-83,0.001719332,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-185,0.002377997,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-82,0.00278642,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-161,0.001642216,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-106,0.002627591,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-77,0.00317248,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-25,0.000949034,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-81,0.002245835,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-107,0.002246072,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-104,0.001464206,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-122,0.002821356,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-109,0.001267587,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-96,0.002501465,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-163,0.000899915,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-55,0.002595448,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-34,0.000632117,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-69,0.001312571,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-67,0.002717957,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-102,0.004364256,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-99,0.002354374,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-100,0.002793265,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-127,0.001510491,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-42,0.002453688,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-49,0.002106328,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-156,0.001555041,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-168,0.001142601,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-119,0.001991937,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-85,0.001915294,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-110,0.003226841,0,1,5270.289474,0,RI=0,Beta-lactams
SHV-144,0.001877895,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-183,0.001053241,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-14,0.001765938,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-13,0.001439926,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-70,0.001649195,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-189,0.00093139,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-19,0.001687673,1,0,5270.289474,0,RI=0,Beta-lactams
SHV-124,0.001132497,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-52,0.001246199,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-182,0.001162074,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-129,0.001780905,0,0,5270.289474,0,RI=0,Beta-lactams
SHV-172,0.002279995,0,0,5270.289474,0,RI=0,Beta-lactams
