qseqid	sseqid	identity	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	aro_accession	ARO Accession	CVTERM ID	Model Sequence ID	Model ID	Model Name	ARO Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	vfw1	vfw2	vfw3	vfw4	vfw5	vfw6	vfw7	vfw8	vfw9	vfd1	vfd2	vfd3	vfd4	vfd5	vfd6	vfd7	vfd8	vfd9	spw1	spw2	spw3	spw4	spw5	spw6	spw7	spw8	spw9	spd1	spd2	spd3	spd4	spd5	spd6	spd7	spd8	spd9	kingdom	phylum	class	order	family	genus	species
seq_05118737	gb|AAC75089.1|ARO:3003577|ugd	73.8	202	53	0	187	388	1	202	7e-85	318.9	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.14489	0.144793	0.242086	0.489087	0.092675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084078	0.0	0.097541	0.175075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Oceanospirillaceae	g__Nitrincola	s__Nitrincola nitratireducens
seq_02432434	gb|AAC75089.1|ARO:3003577|ugd	65.5	238	65	2	165	385	1	238	5.5e-82	309.3	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.480483	0.0	0.0	0.094888	0.103026	0.0	0.085152	0.04908	0.0	0.133474	0.0	0.149631	0.0	0.0	0.126924	0.0	0.073267	0.0	0.047752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.092127	0.158554	0.0	0.0	d__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium adolescentis
seq_02804136	gb|AAC75089.1|ARO:3003577|ugd	64.6	254	71	2	77	311	1	254	8.8e-88	328.6	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.050036	0.0	0.13896	0.171679	0.030598	0.230297	0.0	0.146276	0.053707	0.0	0.301163	0.0	0.05803	0.0	0.135207	0.0	0.196737	0.0	0.085773	0.0	0.045205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057848	0.0	0.0	0.0	0.0	0.0	0.147791	0.0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Pseudoflavonifractor	s__Pseudoflavonifractor sp. An176
seq_00314933	gb|AAC75089.1|ARO:3003577|ugd	63.5	244	72	2	162	388	1	244	5.5e-82	309.3	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.181412	0.032598	0.075208	0.0	0.0	0.0	0.069408	0.320313	0.0	0.123409	0.0	0.0	0.184495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052718	0.0	0.060842	d__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium adolescentis
seq_00656760	gb|AAC75089.1|ARO:3003577|ugd	63.9	241	70	2	165	388	3	243	3e-80	303.5	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.213348	0.0	0.0	0.273843	0.0	0.0	0.0	0.047152	0.047884	0.13978	0.0	0.143355	0.372849	0.136988	0.182484	0.070968	0.0	0.06298	0.0	0.0	0.0	0.0	0.062611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Dorea	s__Dorea longicatena
seq_05736978	gb|AAC75089.1|ARO:3003577|ugd	100.0	388	0	0	1	388	1	388	9.100000000000001e-218	760.4	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.345874	0.245339	0.307095	0.191068	0.093609	0.237563	0.20331	0.255699	0.499744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
seq_04742004	gb|AAC75089.1|ARO:3003577|ugd	72.4	387	107	0	2	388	8	394	5.400000000000001e-162	575.1	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.889657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Oceanospirillaceae	g__Marinomonas	s__Marinomonas sp. KMM3893
seq_00850793	gb|AAC75089.1|ARO:3003577|ugd	60.7	252	96	1	1	249	25	276	5.5e-82	309.3	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.176156	0.0	0.0	0.151775	0.0	0.062719	0.203024	0.233905	0.118711	0.0	0.052551	0.05857	0.253287	0.335821	0.149401	0.037889	0.229237	0.205718	0.0	0.0	0.087754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.109333	0.0	0.044803	0.0	0.0	0.0	0.0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Halanaerobiales	f__Halobacteroidaceae	g__Orenia	s__Orenia metallireducens
seq_10437828	gb|AAC75089.1|ARO:3003577|ugd	64.0	292	102	1	1	289	19	310	8.2e-102	375.2	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.074314	0.074756	0.0499	0.0	0.04429	0.106111	0.057174	0.070331	0.36748	0.095857	0.307293	0.0	0.224826	0.468634	0.184782	0.0	0.095922	0.043041	0.0	0.0	0.072572	0.0	0.0	0.0	0.069822	0.0	0.0	0.0	0.0	0.045751	0.0	0.037456	0.0	0.482548	0.108195	0.083775	d__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp. Marseille-P2415
seq_03057915	gb|AAC75089.1|ARO:3003577|ugd	72.5	229	63	0	160	388	1	229	3.7e-94	349.7	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.567698	0.058454	0.207166	0.0	0.181413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Agarivorans	s__Agarivorans sp. Toyoura001
seq_04717452	gb|AAC75089.1|ARO:3003577|ugd	61.5	317	102	3	92	388	1	317	6.7e-104	382.1	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.021304	0.0	0.05516	0.0	2.4492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium adolescentis
seq_01040657	gb|AAC75089.1|ARO:3003577|ugd	67.0	221	70	1	77	294	3	223	2.3e-80	303.9	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049176	0.0	0.0	0.0	0.0	0.0	0.375354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.108446	0.0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Oscillospiraceae	g__Pseudoflavonifractor	s__Pseudoflavonifractor sp. An176
seq_04201497	gb|AAC75089.1|ARO:3003577|ugd	64.7	241	68	2	165	388	1	241	3.2e-82	310.1	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.1081	0.0	0.0	0.0	0.0	0.076686	0.082899	0.573333	0.29113	0.0	0.06545	0.0	0.12607	0.277862	0.123363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium adolescentis
seq_00961500	gb|AAC75089.1|ARO:3003577|ugd	68.4	228	69	1	70	294	3	230	1.6e-84	317.8	ARO:3003577	ARO:3003577	40187	4591	842	ugd	ugd	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	0.0	0.0	0.0	0.198955	0.0	0.0	0.089405	0.227057	0.085705	0.0	0.0	0.0	0.0	0.15068	0.617645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridium	s__Clostridium ljungdahlii
seq_06487698	gb|BAD59497.1|ARO:3000501|Nocardia	76.0	678	161	2	484	1160	1	677	4.799999999999999e-299	1031.9	ARO:3000501	ARO:3000501	36640	4176	2831	Nocardia rifampin resistant beta-subunit of RNA polymerase (rpoB2)	rpoB2	BAD59497.1	AP006618.1	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement	0.014862	0.0	0.0	0.0	0.0	0.019888	0.021338	0.0	0.0	0.03483	0.015779	0.01776	0.0	0.033943	0.0	0.045706	0.194466	0.015562	0.104295	0.411263	0.75682	0.027296	0.0	0.0	0.0	0.0	0.0	0.0	0.046314	0.099267	0.316355	0.080974	0.086573	0.0	0.013063	0.0	d__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces sp. F001
seq_06141097	gb|BAD59497.1|ARO:3000501|Nocardia	73.1	870	232	2	146	1014	1	869	0.0	1295.0	ARO:3000501	ARO:3000501	36640	4176	2831	Nocardia rifampin resistant beta-subunit of RNA polymerase (rpoB2)	rpoB2	BAD59497.1	AP006618.1	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement	0.04164	0.024481	0.0	0.0	0.005892	0.030032	0.0	0.0	0.028146	0.01309	0.059209	0.014833	0.036586	0.038251	0.045682	0.042898	0.143281	0.025108	0.20931	0.842774	0.970421	0.06155	0.052222	0.011238	0.00958	0.0	0.020079	0.155472	0.046421	0.025671	0.356528	0.206668	0.255379	0.0	0.009814	0.011383	d__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces sp. RB5
seq_06216706	gb|AAC05822.1|ARO:3002846|arr-1	67.7	133	43	0	11	143	1	133	1.1e-48	197.2	ARO:3002846	ARO:3002846	39280	393	1950	arr-1	arr-1	AAC05822.1	AF001493	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.246819	0.0	0.0	0.0	0.0	0.0	0.170073	0.746676	0.708484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.262335	0.496543	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides sp. Iso805N
seq_06485417	gb|AAC05822.1|ARO:3002846|arr-1	66.9	136	45	0	8	143	2	137	1.0000000000000001e-49	200.7	ARO:3002846	ARO:3002846	39280	393	1950	arr-1	arr-1	AAC05822.1	AF001493	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.168855	0.0	0.0	0.783082	0.963358	3.26428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.482344	2.28153	0.200991	0.0	0.0	0.189178	0.219707	d__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides sp. Iso805N
seq_06509663	gb|AAC05822.1|ARO:3002846|arr-1	73.4	109	29	0	6	114	7	115	7.1e-43	177.9	ARO:3002846	ARO:3002846	39280	393	1950	arr-1	arr-1	AAC05822.1	AF001493	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation	0.0	0.0	0.0	0.0	0.0	0.0	0.12143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.215213	0.0	0.0	0.0	0.0	0.3646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.094546	0.0	0.195929	0.424664	0.0	0.0	0.0	0.0	d__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides sp. HDW12B
seq_07795354	gb|AAC05822.1|ARO:3002846|arr-1	72.5	138	38	0	6	143	6	143	1.4e-54	216.9	ARO:3002846	ARO:3002846	39280	393	1950	arr-1	arr-1	AAC05822.1	AF001493	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.172195	0.0	0.357363	0.0	0.618105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides sp. HDW12B
seq_06740879	gb|AAC05822.1|ARO:3002846|arr-1	60.8	120	46	1	25	143	12	131	6.4e-36	154.8	ARO:3002846	ARO:3002846	39280	393	1950	arr-1	arr-1	AAC05822.1	AF001493	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.883923	0.0	0.683813	0.0	0.0	0.186167	0.274033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.499338	d__Bacteria	p__Actinobacteria	c__unknown	o__unknown	f__unknown	g__unknown	s__Actinobacteria bacterium RBG_16_70_17
seq_07181782	gb|CAA77936.1|ARO:3004039|Escherichia	100.0	110	0	0	1	110	29	138	1.9e-56	222.6	ARO:3004039	ARO:3004039	41083	4413	2656	Escherichia coli emrE	Escherichia coli emrE	CAA77936.1	Z11877.1	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61408	1.07928	0.0	0.190278	0.43534	0.787719	0.869174	0.375695	0.160402	0.0	0.213815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
